Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
24962667,Beskrivning av en kamp och andra texter ur kvarlåtenskapen,Franz Kafka,"Kafka, Franz",,"=""""","=""9789177421511""",4,3.69,Bakhåll,Hardcover,206,2000,1934,,2018/11/08,,,read,,,,1,,,0,,,,,
9646649,I straffkolonin och andra noveller,Franz Kafka,"Kafka, Franz",,"=""""","=""9789177422846""",4,3.96,Bakhåll,Hardcover,80,2008,1919,,2018/11/08,,,read,,,,1,,,0,,,,,
22537015,Brevet till fadern,Franz Kafka,"Kafka, Franz",,"=""""","=""9789177423256""",4,3.93,Bakhåll,Hardcover,93,2010,1919,,2018/11/08,,,read,,,,1,,,0,,,,,
18254,Oliver Twist,Charles Dickens,"Dickens, Charles",Philip Horne,"=""""","=""""",4,3.87,Penguin Books,Paperback,608,2003,1838,,2018/11/08,,,read,,,,1,,,0,,,,,
28867352,Industriell ekonomi: grundläggande ekonomisk analys,Björn Lantz,"Lantz, Björn","Anders Isaksson, Hans Löfsten","=""""","=""9789144097145""",1,2.00,Studentlitteratur,Paperback,376,2014,2014,,2018/11/08,,,read,,,,1,,,0,,,,,
21086183,Calculus: a Complete Course,Robert A. Adams,"Adams, Robert A.",,"=""0321781074""","=""9780321781079""",5,3.91,Prentice Hall Canada,Hardcover,,2013,1990,,2018/11/08,,,read,,,,1,,,0,,,,,
25689742,Mathematics handbook for science and engineering,Lennart Råde,"Råde, Lennart",Bertil Westergren,"=""""","=""9789144031095""",5,4.07,Studentlitteratur,Hardcover,562,2004,1995,,2018/11/08,,,read,,,,1,,,0,,,,,
51496,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis","Vladimir Nabokov, Dan Chaon, Martha","=""0451528956""","=""9780451528957""",4,3.83,Signet Classic,Paperback,139,2003,1886,,2018/11/07,,,read,,,,1,,,0,,,,,
49455,Notes from Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""067973452X""","=""9780679734529""",4,4.17,Vintage Classics,Paperback,136,1994,1864,,2018/11/03,favorites,favorites (#11),read,,,,1,,,0,,,,,
17689,Franz Kafka's The Castle (Dramatization),David Fishelson,"Fishelson, David","Aaron Leichter, Max Brod, Franz Kafka","=""082221900X""","=""9780822219002""",5,4.10,Dramatist's Play Service,Paperback,59,2003,2003,,2018/11/03,favorites,favorites (#10),read,,,,1,,,0,,,,,
298275,Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul","Hayden Carruth, Lloyd Alexander","=""0811201880""","=""9780811201889""",5,3.93,New Directions,Hardcover,178,1969,1938,,2018/11/03,favorites,favorites (#9),read,,,,1,,,0,,,,,
11989,The Plague,Albert Camus,"Camus, Albert","Stuart Gilbert, Ersílio Cardoso, Альбер Камю, Valery Rumjanek, Susana Cordero Espinosa","=""""","=""""",5,4.02,Vintage International,Paperback,308,1991,1947,,2018/11/03,favorites,favorites (#8),read,,,,1,,,0,,,,,
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""""","=""""",5,4.33,Doubleday,Hardcover,720,2015,2015,,2018/11/03,favorites,favorites (#7),read,,,,1,,,0,,,,,
22911,Amerika,Franz Kafka,"Kafka, Franz","Willa Muir, Edwin Muir, Klaus Mann, E.L. Doctorow","=""0805210644""","=""9780805210644""",5,3.75,Schocken,Paperback,336,1996,1927,,2018/11/03,favorites,favorites (#6),read,,,,1,,,0,,,,,
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",5,4.14,Vintage International,Paperback,467,2006,2002,,2018/11/03,favorites,favorites (#5),read,,,,1,,,0,,,,,
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2018/11/03,favorites,favorites (#4),read,,,,1,,,0,,,,,
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir","=""""","=""""",5,3.96,Vintage,Paperback,255,2001,1925,,2018/11/03,favorites,favorites (#2),read,,,,1,,,0,,,,,
12996,Othello,William Shakespeare,"Shakespeare, William",,"=""0743477553""","=""9780743477550""",4,3.90,Simon  Schuster,Paperback,314,2004,1603,,2018/11/04,,,read,,,,1,,,0,,,,,
2865,Girl with a Pearl Earring,Tracy Chevalier,"Chevalier, Tracy",,"=""0452287022""","=""9780452287020""",3,3.91,Plume/Penguin,Paperback,233,2005,1999,,2018/11/04,,,read,,,,1,,,0,,,,,
31177773,Glöm mig,Alex Schulman,"Schulman, Alex",,"=""""","=""9789188171887""",3,3.90,Bookmark Förlag,Hardcover,255,2016,2016,,2018/11/04,,,read,,,,1,,,0,,,,,
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",4,4.22,Harper,Kindle Edition,450,2017,2015,,2018/11/04,,,read,,,,1,,,0,,,,,
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",2,4.20,Crown Publishing Group (NY),Paperback,544,2004,2003,,2018/11/04,,,read,,,,1,,,0,,,,,
15996910,Helvetet inifrån: Femton år i Sveriges största brottsorganisation,Lasse Wierup,"Wierup, Lasse",Daniel Olsson,"=""""","=""9789186933005""",1,3.04,Reporto Förlag,Hardcover,312,2012,2012,,2018/11/04,,,read,,,,1,,,0,,,,,
34840338,Tid: livet är inte kronologiskt,Alex Schulman,"Schulman, Alex",,"=""""","=""9789188171511""",2,3.23,Bookmark Förlag,Paperback,316,2016,2015,,2018/11/04,,,read,,,,1,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",3,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,2010/01/01,2018/11/03,,,read,,,,1,,,0,,,,,
11797365,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,Blaine Harden,"Harden, Blaine",,"=""0670023329""","=""9780670023325""",4,3.98,Viking,Hardcover,205,2012,2012,,2018/11/03,,,read,,,,1,,,0,,,,,
1694529,När man skjuter arbetare...,Kerstin Thorvall,"Thorvall, Kerstin",,"=""9100560057""","=""9789100560058""",2,4.06,Bonnier Pocket,Paperback,309,1995,1993,,2018/11/03,,,read,,,,1,,,0,,,,,
65714,Kallocain,Karin Boye,"Boye, Karin","Gustaf Lannestock, Richard B. Vowles","=""0299038947""","=""9780299038946""",4,3.75,University of Wisconsin Press,Paperback,193,2002,1940,,2018/11/03,,,read,,,,1,,,0,,,,,
31170723,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,"Sapolsky, Robert M.",,"=""1594205078""","=""9781594205071""",5,4.43,Penguin Press,Hardcover,790,2017,2017,,2018/11/03,,,read,,,,1,,,0,,,,,
23125266,I Let You Go,Clare Mackintosh,"Mackintosh, Clare",,"=""0751554154""","=""9780751554151""",2,4.05,Sphere,Paperback,371,2014,2014,,2018/11/03,,,read,,,,1,,,0,,,,,
31685789,Room,Emma Donoghue,"Donoghue, Emma",,"=""""","=""""",2,4.07,"Little, Brown and Company",Kindle Edition,321,2010,2010,,2018/11/03,,,read,,,,1,,,0,,,,,
33652490,Men Without Women,Haruki Murakami,"Murakami, Haruki","Phillip Gabriel, Ted Goossen","=""""","=""""",5,3.77,Bond Street Books,Kindle Edition,240,2017,2014,,2018/11/03,,,read,,,,1,,,0,,,,,
10357575,1Q84 (1Q84 #1-3),Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",4,3.93,Knopf,Hardcover,925,2011,2009,,2018/11/03,,,read,,,,1,,,0,,,,,
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",4,4.03,Vintage Books,Paperback,296,2000,1987,,2018/11/03,,,read,,,,1,,,0,,,,,
36336078,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,"Aciman, André",,"=""1786495252""","=""9781786495259""",4,4.15,Atlantic Books,Paperback,248,2017,2007,,2018/11/03,,,read,,,,1,,,0,,,,,
12505,The Idiot,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Anna Brailovsky, Joseph Frank, Constance Garnett","=""0679642420""","=""9780679642428""",4,4.20,Modern Library,Paperback,667,2003,1869,,2018/11/03,,,read,,,,1,,,0,,,,,
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""""","=""""",3,4.34,"Farrar, Straus and Giroux",Paperback,796,2002,1879,,2018/11/03,,,read,,,,1,,,0,,,,,
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz","Willa Muir, Stanley Corngold, Edwin Muir","=""""","=""""",5,3.84,Bantam Classics,Paperback,201,1972,1915,,2018/11/03,,,read,,,,1,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",4,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2018/11/03,,,read,,,,1,,,0,,,,,
